0,"A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves."
1,"I must follow the people. Am I not their leader?"
2,"The first responsibility of a leader is to define reality. The last is to say thank you. In between, the leader is a servant."
3,"Leadership is the capacity to translate vision into reality."
4,"Lead me, follow me, or get out of my way."
5,"Before you are a leader, success is all about growing yourself. When you become a leader, success is all about growing others."
6,"A leader is a dealer in hope."
7," who knows the way, goes the way, and shows the way."
8,"My own definition of leadership is this: The capacity and the will to rally men and women to a common purpose and the character which inspires confidence."
9,"Leadership is lifting a person's vision to high sights, the raising of a person's performance to a higher standard, the building of a personality beyond its normal limitations."
10,"Winter is coming..."